,caption
285,"1girl, solo, long hair, breasts, looking at viewer, blush, smile, open mouth, large breasts, hair ornament, dress, holding, bare shoulders, yellow eyes, pink hair, flower, heart, sleeveless, solo focus, hair flower, white dress, hair bun, speech bubble, halo, fingernails, symbol-shaped pupils, sleeveless dress, saliva, heart-shaped pupils, scrunchie, hand on own chest, spoken heart, purple flower, single side bun, holding bottle, wrist scrunchie, lower teeth only, masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
286,"1girl, bare shoulders, beret, black choker, braid, breasts, choker, collarbone, cowboy shot, earrings, eyelashes, eyeliner, eyeshadow, fangs, fingernails, flower, green eyes, hair between eyes, hair flower, hair ornament, hand up, hat, jewelry, long fingernails, very long hair, long sleeves, looking at viewer, makeup, multiple rings, nail polish, off-shoulder shirt, off shoulder, open mouth, red eyeshadow, red flower, red hair, red headwear, red lips, ring, sharp fingernails, shirt, single earring, smile, solo, teeth, twin braids, upper teeth only, white background, white shirt, masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
287,"absurdres, high resolution, 8k, highest quality, best quality, masterpiece, extremely detailed, detailed background, high definition, perfect anatomy, perfect eyes, perfect fingers, perfect lips, very high resolution, extremely detailed, highly detailed, detailed face, detailed eyes, high, quality, open eyes, cute face, half body, A-RRS, KITSUNE Fox, female, robotanimestyle, smug, ROBOTARTSTYLE"
288,"elegant woman made of pearlescent light, soft glowing skin with iridescent shine, flowing suit that ripples like liquid pearl, dreamy expression, surrounded by floating pearl orbs, pastel background haze, high detail, soft focus, graceful pose, masterpiece, high score, great score, absurdres, high definition,anime style,usnr"
289,"young girl, blue eyes, sleek straight blue hair, cat ears, reddish face,Fair skin (soft blush),white blouse, masterpiece, best quality, white background，delicate,anime style, exquisite, color correction，1024*1024"
290,"1girl, nsfw, mature, platinum wavy hair,sunglasses on forehead, blue eyes, looking at viewer, looking back, curious, white fur coat, night, street, retro artstyle, screencap, masterpiece, high score, great score, absurdres"
291,"absurdres, high resolution, 8k, highest quality, best quality, masterpiece, extremely detailed, detailed background, high definition, perfect anatomy, perfect eyes, perfect fingers, perfect lips, very high resolution, extremely detailed, highly detailed, detailed face, detailed eyes, high, quality, open eyes, cute face, half body, A-RRS, KITSUNE Fox, female, robotanimestyle, smug, ROBOTARTSTYLE"
292,"masterpiece, best quality, 1girl, solo, eyelashes, (beautiful eyes), ,, ,[], (portrait, eyes focus), TinkerWaifu,,Blonde hair, single hair bun, blue eyes,,fairy wings, blue eyes, [Floral Fairy], bright yellow and pink floral dress with petals flowing along the hem, delicate butterfly-shaped wings made from soft flower petals, flower crown woven from daisies, thin vine belt with hanging blossoms, barefoot with flower-shaped anklets, standing in a blooming meadow with wildflowers surrounding her, sunlight casting a golden glow, ,[], (foreshortening), detailed eyes, outdoors, night, full moon, dark, fog, bokeh, luminescent background, looking at viewer, smile,"
293,"absurdres, high resolution, 8k, highest quality, best quality, masterpiece, extremely detailed, detailed background, high definition, perfect anatomy, perfect eyes, perfect fingers, perfect lips, very high resolution, extremely detailed, highly detailed, detailed face, detailed eyes, high, quality, open eyes, cute face, half body, A-RRS, KITSUNE Fox, female, robotanimestyle, smug, ROBOTARTSTYLE"
294,"masterpiece, best quality, high quality, ((sfw)), intricate detail, vivid, bright colors, glow, fantasy, 1girl, knight, armor, warrior, long skirt, delicate patterns, serious, low twintails, cute, kawaii, outdoors, sunlight, seaside, lights, art, aesthetic,"
295,"(masterpiece, newest, dynamic angle), anime, 1girl, portrait, standing, upper body, petite, black hair, blue eyes, long hair, bioluminescent frilly blouse, blue blouse, red short skirt, bioluminescent stripes, looking at viewer, bioluminescent forest, 3nch4nt3d f0r3st"
296,"1girl,safe,volumetric lighting,backlighting,strong light,shadow,full body,high contrast,masterpiece, high score, great score, absurdres,"
297,"girl, sensitive, asymmetrical hair, The back is illuminated, cable, closed mouth, battledress, computer, bodysuit, Skinny pants, Soft light, hair ornament, hairclip, Open jacket, glowing blue butterfly, indoors, looking at viewer, Multiple monitors, red eyes, short hair, solo, small breasts, dark room,(from above), photo background, spot colors, dutch angle, chromatic aberration, high score, great score"
298,"(  loves only you \(umamusume\) , umamusume, loves_only_you_(umamusume),  1girl, animal_ears, asymmetrical_gloves, black_coat, black_gloves, black_hat, blush, breasts, , coat, diamond-shaped_pupils, diamond_(shape), dress, facial_mark, frilled_sleeves, frills, from_above, gloves, hat, heart, heart_facial_mark, heart_hands, heart_on_cheek, horse_ears, horse_girl, horse_tail, , long_hair, long_sleeves, looking_at_viewer, mini_hat, mini_top_hat, mismatched_gloves, mole,  : 1.2) long skirt , shirt, Bioluminescent World, Tongue out, closed mouth,mole_on_neck, multicolored_hair, red_hair, smile, solo, streaked_hair, symbol-shaped_pupils, tail, top_hat, two-tone_hair, white_dress, white_gloves, white_hair, yellow_eyes"
299,"score_9,score_8_up,score_7_up,score_6_up,score_5_up,1girl, score_4_up,Rainbow Dash from My Little Pony,anthro female, short hair,red_eyes,heterochromia,slit pupils,sparkles in wand, light particles,glowing,rainbow pattern,constellation,a starry night sky,observed from the ground,glowing clouds,nebulae, glowing eyes,spiked bracelets,blue skin,colored skin,rainbow hair,purple eyes,curvy,frown,smile,clenching fists,tongue,grin, wide hips,thick thighs,thick legs,medium breasts,narrow waist, supermarket,tiles,rainbow lights,(sparkles:1.4),security camera, cloud print shirt,long shirt,white shirt,black jacket,cargo pants, green pants,sci-fi,wings,painted floor,security signs,pennants, (hand sign),(sunrays),shiny skin,dynamic pose,holding energy drink,rainbow orb,dark green pants,sports clothes,(floating), (orbs on air),(jewelry),(motion lines:1.4),(thick outlines:1.4),4k, (trembling lines:1.4),(clouds),(toys),wooden buildings,(sweat), steam,steamy breath,holding bottle,(spoken star),(gun case), masterpiece,best quality,newest,absurdres,best shadow,high quality,highly detailed background,extremely detailed soaked skin,very detailed clothes),skindentation,illustration,amazing quality,very aesthetic,(very detailed hair),highly detailed eyes, 4k,highres,depth of field,sharp focus,big eyes,frown,(spoken anger vein),dynamic shot,(comic panel),"
